Peak_macd  Down_macd  Buy_macd_position  Sell_macd_position  Buy        Sel        Last_Profit       Action

28     18.71     28                  0                   0          0          0                 Buy
28     18.71     28                  0                   0          0          0                 Buy
28     18.71     28                  0                   20121.1          0          0                 Buy
28     18.71     28                  0                   20121.1          0          0                 Buy
28     18.71     28                  0                   20121.1          0          0                 Buy
28     18.71     28                  0                   20121.1          0          0                 Buy
28     18.71     28                  0                   20121.1          0          0                 Buy
28     18.71     28                  0                   20121.1          0          0                 Buy
28     18.71     28                  0                   20121.1          0          0                 Buy
28     18.71     28                  0                   0          0          0                 Buy
28     18.71     28                  0                   20121.1          0          0                 Buy
28     18.71     28                  0                   20121.1          0          0                 Buy
28     18.71     28                  0                   20121.1          0          0                 Buy
28     18.71     28                  0                   20121.1          0          0                 Buy
28     18.71     28                  0                   20121.1          0          0                 Buy
0.0200     -0.031     -0.023                  -0.023                   16549.73          16549.73          0                 Profit
0.0128     -0.039     0.0128                  0.0128                   16550.33          16550.33          0                 Profit
0.0367     -0.039     -0.035                  -0.035                   16549.93          16549.93          0                 Profit
0.0894     -0.062     -0.053                  -0.053                   16549.50          16549.50          0                 Profit
-0.049     -0.056     -0.049                  -0.050                   16549.53          16549.26          -0.270                 Profit
0.0248     -0.051     -0.049                  -0.049                   16549.55          16549.55          0                 Profit
-0.011     -0.089     -0.011                  -0.089                   16550.02          16549.03          -0.990                 Profit
-0.076     -0.106     -0.076                  -0.093                   16549.03          16549.17          0.1399                 Profit
-0.071     -0.106     -0.074                  -0.087                   16549.20          16549.14          -0.060                 Profit
-0.087     -0.106     -0.090                  -0.090                   16549.04          16549.04          0                 Profit
-0.082     -0.097     -0.082                  -0.087                   16549.24          16549.17          -0.070                 Profit
-0.087     -0.105     -0.094                  -0.094                   16548.81          16548.81          0                 Profit
-0.094     -0.121     -0.109                  -0.109                   16548.94          16548.94          0                 Profit
-0.109     -0.467     -0.424                  -0.424                   16547.55          16547.55          0                 Profit
-0.419     -0.453     -0.431                  -0.431                   16547.54          16547.54          0                 Profit
-0.423     -0.447     -0.423                  -0.447                   16547.23          16547.27          0.0400                 Profit
-0.408     -0.447     -0.408                  -0.427                   16547.80          16547.81          0.0100                 Profit
-0.410     -0.443     -0.410                  -0.428                   16547.63          16547.78          0.1499                 Profit
-0.428     -0.441     -0.438                  -0.438                   16547.74          16547.74          0                 Profit
-0.416     -0.447     -0.438                  -0.447                   16547.53          16547.32          -0.209                 Profit
-0.447     -0.464     -0.454                  -0.454                   16547.05          16547.05          0                 Profit
-0.433     -0.459     -0.433                  -0.446                   16547.12          16547.32          0.2000                 Profit
-0.438     -0.481     -0.459                  -0.459                   16547.12          16547.12          0                 Profit
-0.458     -0.498     -0.458                  -0.498                   16547.14          16546.72          -0.419                 Profit
-0.498     -0.660     -0.658                  -0.658                   16544.55          16544.55          0                 Profit
-0.658     -0.694     -0.684                  -0.684                   16545.12          16545.12          0                 Profit
-0.670     -0.814     -0.747                  -0.747                   16543.45          16543.45          0                 Profit
-0.747     -0.774     -0.770                  -0.770                   16543.16          16543.16          0                 Profit
-0.764     -0.802     -0.783                  -0.783                   16542.68          16542.68          0                 Profit
-0.783     -0.845     -0.786                  -0.786                   16542.70          16542.70          0                 Profit
-0.786     -0.830     -0.824                  -0.824                   16542.16          16542.16          0                 Profit
-0.824     -0.895     -0.861                  -0.861                   16541.87          16541.87          0                 Profit
-0.743     -0.881     -0.811                  -0.802                   16541.89          16542.56          0.6700                 Profit
-0.791     -0.823     -0.794                  -0.803                   16542.92          16542.91          -0.009                 Profit
-0.788     -0.829     -0.788                  -0.829                   16542.96          16543.00          0.0400                 Profit
-0.790     -0.829     -0.806                  -0.814                   16542.53          16542.96          0.4300                 Profit
-0.770     -0.849     -0.806                  -0.806                   16542.79          16542.79          0                 Profit
-0.806     -0.849     -0.821                  -0.821                   16542.17          16542.17          0                 Profit
-0.778     -0.849     -0.842                  -0.842                   16542.31          16542.31          0                 Profit
-0.796     -0.846     -0.837                  -0.837                   16542.34          16542.34          0                 Profit
-0.829     -0.855     -0.829                  -0.855                   16542.20          16542.00          -0.200                 Profit
-0.807     -0.855     -0.807                  -0.842                   16542.05          16542.24          0.1900                 Profit
-0.796     -1.334     -0.814                  -1.334                   16542.67          16542.48          -0.189                 Profit
-1.311     -1.334     -1.311                  -1.314                   16542.48          16542.81          0.3300                 Stop Loss hit
-1.058     -1.330     -1.244                  -1.121                   16543.91          16545.37          1.4599                 Profit
-1.080     -1.130     -1.119                  -1.119                   16545.34          16545.34          0                 Profit
-1.116     -1.125     -1.116                  -1.121                   16545.20          16544.81          -0.389                 Profit
-1.121     -1.187     -1.151                  -1.151                   16544.40          16544.40          0                 Profit
-1.151     -1.158     -1.157                  -1.157                   16545.06          16545.06          0                 Profit
-1.105     -1.165     -1.135                  -1.112                   16544.72          16545.00          0.2799                 Profit
-1.091     -1.148     -1.135                  -1.135                   16545.24          16545.24          0                 Profit
-1.082     -1.185     -1.164                  -1.164                   16544.55          16544.55          0                 Profit
-1.154     -1.192     -1.189                  -1.189                   16543.85          16543.85          0                 Profit
-1.120     -1.203     -1.175                  -1.175                   16544.49          16544.49          0                 Profit
-1.175     -1.195     -1.184                  -1.184                   16544.01          16544.01          0                 Profit
-1.121     -1.191     -1.154                  -1.139                   16544.48          16544.47          -0.009                 Profit
-1.139     -1.194     -1.173                  -1.173                   16544.55          16544.55          0                 Profit
-1.160     -1.188     -1.182                  -1.182                   16544.21          16544.21          0                 Profit
-1.078     -1.305     -1.215                  -1.215                   16543.99          16543.99          0                 Profit
-1.179     -1.218     -1.179                  -1.186                   16544.67          16544.75          0.0800                 Profit
-1.101     -1.432     -1.366                  -1.366                   16544.96          16544.96          0                 Profit
-1.366     -1.436     -1.424                  -1.424                   16544.18          16544.18          0                 Profit
-1.424     -1.482     -1.441                  -1.441                   16543.98          16543.98          0                 Profit
-1.430     -1.466     -1.431                  -1.441                   16544.40          16544.04          -0.360                 Profit
-1.366     -1.456     -1.366                  -1.421                   16545.28          16544.74          -0.539                 Profit
-1.364     -1.432     -1.416                  -1.416                   16544.65          16544.65          0                 Profit
-1.416     -1.439     -1.435                  -1.435                   16544.32          16544.32          0                 Profit
-1.393     -1.459     -1.457                  -1.457                   16544.56          16544.56          0                 Profit
-1.415     -1.468     -1.437                  -1.437                   16544.09          16544.09          0                 Profit
-1.437     -1.482     -1.463                  -1.463                   16543.67          16543.67          0                 Profit
-1.415     -1.468     -1.466                  -1.439                   16544.39          16544.37          -0.020                 Profit
-1.407     -1.526     -1.496                  -1.496                   16544.00          16544.00          0                 Profit
-1.320     -1.511     -1.407                  -1.364                   16544.93          16545.32          0.3899                 Profit
-1.142     -2.213     -1.200                  -1.211                   16550.32          16550.63          0.3100                 Stop Loss hit
9.8456     -1.565     -0.532                  -0.859                   16556.18          16729.18          173                 Stop Loss hit
0.1407     -0.859     0.1407                  0.1407                   16727.73          16727.73          0                 Stop Loss hit
-16.83     -17.85     -16.83                  -17.59                   22923.50          22916.23          -7.270                 Stop Loss hit
-16.56     -17.59     -16.56                  -16.70                   22926.44          22926.12          -0.319                 Stop Loss hit
-15.66     -18.97     -16.56                  -16.67                   22903.95          22901.86          -2.090                 Stop Loss hit
-14.78     -16.67     -14.78                  -15.38                   22919.74          22921.00          1.2599                 Stop Loss hit
-15.06     -16.09     -15.06                  -15.15                   22921.57          22922.90          1.3300                 Stop Loss hit
-13.98     -15.47     -13.98                  -14.03                   22927.60          22936.20          8.6000                 Stop Loss hit
-13.24     -14.43     -13.24                  -14.43                   22944.00          22930.25          -13.75                 Stop Loss hit
-10.14     -15.10     -13.98                  -14.09                   22934.99          22890.00          -44.99                 Stop Loss hit
-13.65     -18.17     -17.02                  -17.38                   22871.51          22866.43          -5.079                 Stop Loss hit
-17.38     -21.47     -20.21                  -20.35                   22833.00          22830.01          -2.990                 Stop Loss hit
-20.35     -22.86     -20.52                  -22.86                   22826.60          22833.68          7.0800                 Stop Loss hit
-22.00     -23.02     -22.00                  -22.24                   22844.34          22845.63          1.2900                 Stop Loss hit
-19.95     -24.81     -23.74                  -23.83                   22824.00          22833.80          9.7999                 Stop Loss hit
-23.38     -31.92     -29.79                  -29.90                   22753.36          22755.54          2.1800                 Stop Loss hit
-19.72     -31.25     -30.14                  -30.23                   22750.90          22777.78          26.879                 Stop Loss hit
-26.93     -30.97     -29.64                  -30.77                   22781.47          22797.96          16.489                 Stop Loss hit
-29.51     -31.13     -29.63                  -29.82                   22812.20          22816.68          4.4799                 Stop Loss hit
-27.48     -28.59     -27.54                  -28.25                   26487.96          26482.98          -4.979                 Stop Loss hit
-28.06     -32.57     -31.50                  -31.64                   26442.25          26440.93          -1.319                 Stop Loss hit
-31.64     -36.22     -34.60                  -35.10                   26392.17          26400.57          8.4000                 Stop Loss hit
-34.64     -35.79     -34.64                  -35.00                   26402.37          26396.98          -5.389                 Stop Loss hit
-34.90     -45.55     -44.12                  -44.50                   26405.53          26402.85          -2.680                 Stop Loss hit
-43.33     -44.50     -43.33                  -43.56                   26417.67          26408.38          -9.289                 Stop Loss hit
-42.45     -43.93     -42.77                  -43.03                   26421.32          26421.37          0.0499                 Stop Loss hit
-41.63     -43.03     -41.63                  -42.51                   26436.39          26424.59          -11.79                 Stop Loss hit
-41.04     -42.92     -41.53                  -42.28                   26437.24          26425.16          -12.08                 Stop Loss hit
-42.28     -44.66     -43.53                  -44.29                   26407.58          26408.05          0.4699                 Stop Loss hit
28.724     26.840     28.363                  28.363                   28706.30          28706.30          0                 Stop Loss hit
28.582     16.730     17.737                  17.737                   28630.61          28630.61          0                 Stop Loss hit
18.009     16.846     18.009                  18.009                   28633.97          28633.97          0                 Stop Loss hit
19.177     18.009     19.177                  19.177                   28645.07          28645.07          0                 Stop Loss hit
20.270     19.177     20.270                  20.270                   28662.37          28662.37          0                 Stop Loss hit
20.470     11.403     12.681                  12.681                   28618.62          28618.62          0                 Stop Loss hit
12.681     9.6976     10.776                  10.776                   28592.03          28592.03          0                 Stop Loss hit
10.963     4.2358     5.3358                  5.3358                   28610.22          28610.22          0                 Stop Loss hit
6.1719     5.0965     6.1719                  6.1719                   28620.71          28620.71          0                 Stop Loss hit
6.8659     0.5530     1.8541                  1.8541                   28609.16          28609.16          0                 Stop Loss hit
3.0204     1.8541     3.0204                  3.0204                   28629.39          28629.39          0                 Stop Loss hit
4.1212     3.0204     4.1212                  4.1212                   28643.18          28643.18          0                 Stop Loss hit
4.2281     -3.189     -1.778                  -2.045                   28587.68          28587.98          0.2999                 Stop Loss hit
-2.045     -9.915     -8.751                  -9.598                   28570.14          28559.48          -10.65                 Stop Loss hit
-8.343     -9.598     -8.343                  -9.042                   28575.21          28566.44          -8.770                 Stop Loss hit
-7.015     -9.042     -7.015                  -7.724                   28583.55          28582.98          -0.569                 Stop Loss hit
-7.379     -11.56     -10.31                  -10.51                   28550.46          28547.97          -2.489                 Stop Loss hit
-10.51     -14.34     -13.10                  -13.57                   28515.48          28509.58          -5.899                 Stop Loss hit
-10.69     -15.54     -11.88                  -15.54                   28530.84          28552.00          21.159                 Stop Loss hit
-15.54     -19.26     -18.03                  -18.20                   28524.81          28531.86          7.0499                 Stop Loss hit
-18.27     -28.76     -25.82                  -28.76                   28523.14          28530.23          7.0900                 Stop Loss hit
-27.89     -29.03     -27.89                  -28.21                   28558.67          28554.60          -4.069                 Stop Loss hit
-26.84     -28.21     -27.16                  -27.21                   28567.13          28567.11          -0.020                 Stop Loss hit
4.2365     2.8420     4.2365                  4.2365                   28445.27          28445.27          0                 Stop Loss hit
-2.643     -4.698     -3.695                  -3.834                   28386.56          28384.83          -1.729                 Stop Loss hit
-3.135     -4.358     -3.306                  -3.486                   28391.45          28389.19          -2.260                 Stop Loss hit
-3.486     -5.200     -4.069                  -4.431                   28403.04          28404.52          1.4799                 Stop Loss hit
-4.431     -7.111     -5.835                  -5.909                   28380.47          28381.18          0.7099                 Stop Loss hit
-26.09     -28.03     -26.95                  -27.16                   27283.03          27295.90          12.870                 Stop Loss hit
-26.13     -27.16     -26.13                  -26.17                   27299.54          27299.01          -0.530                 Stop Loss hit
-25.02     -26.51     -25.03                  -25.72                   27294.68          27286.00          -8.680                 Stop Loss hit
-23.69     -25.72     -24.42                  -24.97                   27302.29          27298.18          -4.110                 Stop Loss hit
